word,similarity
(으)로_FNS/JKB,1.0
밀려나/VV,0.6642628154195203
극__04/NNG,0.6642628154195201
울리__01/VV,0.6531986596213935
절규/NNG,0.6531986596213935
원칙/NNG,0.6483415130394776
외모__02/NNG,0.6418250141601622
백인__01/NNG,0.6418250141601622
틀림없/VA,0.6418250141601622
미학/NNG,0.6413752292732878
포도__06/NNG,0.6294570354128103
주스/NNG,0.6294570354128102
투쟁/NNG,0.6293750891600156
폭동/NNG,0.6293750891600156
종종__04/MAG,0.6293750891600156
터지/VV,0.6293750891600156
은데/EF,0.6290607732595352
싫/VA,0.6290607732595352
스키/NNG,0.626918181759111
즐기/VV,0.6269181817591108
만능/NNG,0.6269181817591108
스포츠맨/NNG,0.6269181817591107
건네/VV,0.6251828555674093
조금쯤/NNG,0.6206615386037622
슬퍼하/VV,0.6206615386037622
모션/NNG,0.620413524272184
슬로/NNG,0.620413524272184
목숨/NNG,0.6177238867965062
달리__01/VV,0.6177238867965062
끄덕거리/VV,0.6159528475299131
권리/NNG,0.6090038088042914
제정신/NNG,0.6085652471099665
애원조__02/NNG,0.6053347916376668
빌붙/VV,0.6053347916376668
사회사업/NNG,0.6051675705238703
한서중학교/NNP,0.6050739491845073
공립__01/NNG,0.6050739491845073
현재/MAG,0.6050739491845073
선발__03/NNG,0.6046813887384593
안정환/NNP,0.6046813887384593
밀감/NNG,0.6039168972469782
씹/VV,0.6039168972469782
롱스커트/NNG,0.6037113599858006
속살거리/VV,0.6021663506835926
촌팔분/NNG,0.5979105822557336
명란젓/NNG,0.5954465969348466
썰__01/VV,0.5954465969348466
일곱/NR,0.5946996591750758
입석__02/NNG,0.5946996591750757
내리/MAG,0.5946996591750757
다/EF,0.5938984214339462
조카/NNG,0.5913808335414501
유기농법/NNG,0.5906442169241569
바꾸__01/VV,0.5894615099862928
과감히__01/MAG,0.5894615099862928
빙긋/MAG,0.5891343414724439
스님/NNG,0.5891343414724439
운__06/NNG,0.5890693714607675
백세난작식자인/NNG,0.5880405741850183
넋두리/NNG,0.5880227429863029
4구체/NNG,0.5879675634937763
한문/NNG,0.5879675634937762
심__03/NNG,0.5879044806229835
무신/MM,0.5879044806229835
ᆯ꼬/EF,0.5879044806229835
죽사발/NNG,0.5867773185436584
포/NNG,0.5867124379691266
경과__04/NNG,0.5842144135960035
본능/NNG,0.5837375850407203
는데/EF,0.5836261925796524
뒤적이/VV,0.5831663690020751
이구동성/NNG,0.5829938867600297
도백/NNG,0.5824010015169858
멍멍/XR,0.5812935753896994
흘러가/VV,0.5812935753896994
생명체/NNG,0.5808269151450387
하나하나/NNG,0.5808269151450387
문화재/NNG,0.5808269151450387
잔돈__01/NNG,0.5807283438939961
본론/NNG,0.5805368933472983
작전__01/NNG,0.5799190724625486
과자__02/NNG,0.5794263598781536
어린애/NNG,0.5794263598781535
필사__01/NNG,0.5794135886280727
안기__01/VV,0.5783571401152224
품__01/NNG,0.5783571401152224
몽정/NNG,0.5778457160738892
동의__02/NNG,0.5771567391146134
빙긋이/MAG,0.5771567391146134
타이밍/NNG,0.5766537553599439
아웃__02/NNG,0.5766537553599439
건성__01/NNG,0.5764432480359258
어야지요/EF,0.5762597077028216
알뿌리/NNG,0.5758595032034697
학년/NNG,0.5757530492076258
과목__02/NNG,0.5757530492076258
제자리/NNG,0.5751149826764969
기역__01/NNG,0.5746732825144607
꺾어지/VV,0.5746732825144607
적어도/MAG,0.5745323362545399
다반사/NNG,0.5743497429774815
미증유/NNG,0.5743497429774814
불황__01/NNG,0.5737067858542026
노동자/NNG,0.5737067858542025
종류__02/NNG,0.5728027614692367
치달리/VV,0.5726655191986695
으려고요/EF,0.5717911920149576
엉터리/NNG,0.5717911920149575
벼랑/NNG,0.5713421877625064
재__01/NNG,0.5713033575216774
기다리__01/VV,0.570898022362976
감사__08/NNG,0.5698751919562233
공짜/NNG,0.569659518669633
부동자세/NNG,0.5695947478035434
빈정대/VV,0.5693648750377697
농조__01/NNG,0.5693648750377696
진정하/VA,0.5690828777014018
본문__01/NNG,0.5690828777014018
복귀/NNG,0.5690828777014018
추__02/VV,0.568351373295197
한상철/NNP,0.5681990709584238
기둥__01/NNG,0.5680839467783466
가문__01/NNG,0.5680839467783466
다니까/EF,0.5680839467783465
고마워하/VV,0.5677244841053781
새댁/NNG,0.567266965089571
현찰__01/NNG,0.5671766693170732
진정__05/NNG,0.5671300540265254
기쁘/VA,0.5671300540265254
그나마/MAG,0.5668894702474778
고학__02/NNG,0.5668894702474778
중학교/NNG,0.5668894702474778
후추통/NNG,0.5668645265386265
1959/SN,0.5668349307421774
에어아메리카/NNP,0.5668349307421774
거들__01/VV,0.566263827257365
순식간/NNG,0.5657043023766589
으라/EF,0.5656547694965722
영광__01/NNG,0.5656547694965722
꼽히__01/VV,0.5648036107418425
계장__03/NNG,0.5646526805784557
야위/VV,0.5645836859195017
허나/MAJ,0.5639852969872898
요/JX,0.5636239006709028
퍼먹/VV,0.5636239006709028
모던/NNG,0.5631913853447811
감각__02/NNG,0.563191385344781
기대__03/NNG,0.563166525823344
저버리/VV,0.563166525823344
과거__03/NNG,0.5630494062944031
투성이/XSN,0.563049406294403
결벽/NNG,0.5628874638329564
약질__02/NNG,0.5628874638329564
속수기문/NNP,0.5628034346592153
사마문정공집/NNP,0.5628034346592153
저술/NNG,0.5628034346592153
흡족/NNG,0.562751836934823
온정__03/NNG,0.5625441399841314
김빠지/VV,0.5618475368378073
최/XPN,0.5614553433435827
국력__02/NNG,0.5614553433435827
약소국/NNG,0.5614553433435827
따라서/MAJ,0.5614346146375407
억울/XR,0.561237432919758
죽음__01/NNG,0.5610423788645467
최이현/NNP,0.5606463911367123
동지__05/NNG,0.5606463911367123
자동__01/NNG,0.5604923868773162
나뉘/VV,0.5604923868773162
천연__01/NNG,0.5603833174316167
지정__14/NNG,0.5603833174316167
비자나무/NNG,0.5603833174316167
기념물/NNG,0.5603833174316167
감독관/NNG,0.5598440888422372
셔터/NNG,0.5598440888422372
화장/NNP,0.5598280918132583
노점/NNP,0.5598280918132583
사고__12/NNG,0.5592809687312161
참말/NNG,0.5589059836167203
이상__12/NNG,0.5589059836167202
정문__03/NNG,0.5583330586199147
일대__03/NNG,0.5583330586199147
화염__02/NNG,0.5583330586199147
박동식/NNP,0.5581332483406821
합리주의/NNG,0.5580964864198923
답답/XR,0.5578540473808056
영옥이/NNP,0.5577699232054427
현대/NNG,0.5577359811564481
화가__03/NNG,0.5577359811564481
최욱경/NNP,0.5577359811564481
알몸/NNG,0.5576355567215439
매개__03/NNG,0.5575958055618829
전개__02/NNG,0.5575570052085949
비약__03/NNG,0.5575570052085949
남기/VV,0.5574717088056581
열대어/NNG,0.5572583105914218
관상__07/NNG,0.5572583105914218
간첩/NNG,0.5572022227063045
당게/EF,0.5572022227063045
흥미/NNG,0.5569586333101325
순경__02/NNG,0.5569586333101325
통풍기/NNG,0.5568061830277365
체력/NNG,0.5567261642281058
보강__01/NNG,0.5567261642281058
개인__02/NNG,0.5565280283559771
분__01/NNB,0.5565280283559771
인터뷰/NNG,0.5563070604108274
바__03/NNB,0.5560255036065622
추정__02/NNG,0.5560255036065622
상승__01/NNG,0.5558807500899213
어/IC,0.5558509333573697
진심__01/NNG,0.5557630039891786
공범/NNG,0.5555801069882419
석방/NNG,0.5555801069882418
가/XPN,0.5555801069882418
기념__02/NNG,0.5553739386383192
석고__02/NNG,0.5553313767584162
흐리/VV,0.5553313767584162
우중충/MAG,0.5553313767584162
벌서/MAG,0.5552719690230381
계절__01/NNG,0.5552719690230381
여름철/NNG,0.5552719690230381
상향식/NNG,0.5550285498907029
조절__02/NNG,0.5550285498907029
기종__02/NNG,0.5549484710352617
486/SN,0.5549484710352617
통신병/NNG,0.5547257815593679
일어나/VV,0.5545449212605517
기죽/VV,0.5544823463779553
간통죄/NNG,0.5544339305880555
사형__01/NNG,0.5544339305880555
휴전__03/NNG,0.5541396447126383
혼자말/NNG,0.5540974949436008
상업__02/NNG,0.5540355169121504
환산__02/NNG,0.5540355169121504
이해__06/NNG,0.5540355169121502
더욱이/MAG,0.5540355169121502
무기명/NNG,0.5537648240520682
투표__01/NNG,0.5537648240520682
정반대/NNG,0.553673939816384
일찌감치/MAG,0.5535999350061459
로렌스/NNP,0.5534863716718365
김동원/NNP,0.5534863716718365
올리비에/NNP,0.5534863716718365
1941/SN,0.5533487768363872
탐방/NNG,0.5532230517778237
유명/XR,0.5529819864400493
박진영/NNP,0.5529819864400493
재료__01/NNG,0.5529278191347037
침울/XR,0.5528401108855969
증산/NNP,0.5527751124098295
배꼽/NNG,0.5527751124098295
판서__03/NNG,0.5525968244446535
대용__03/NNG,0.5525968244446535
사무__05/NNG,0.5524910007850942
극히/MAG,0.5524910007850942
이지선/NNP,0.5522048540812063
장본인/NNG,0.5522048540812063
뒤집/VV,0.5522048540812063
